uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count
at://did:plc:auj2ebuaxm22scdazhxc4a4d/app.bsky.feed.post/3lz4dgpa26c2e,bafyreib7dbanofn2tpww477t7hrubjjmgysfknyk7pfufk7xe6h5idrs5m,"It's ok to say homeless people should just be killed, perhaps by lethal injection on TV so long as you praise the Dicktator Donnie.",2025-09-18T12:18:20.838Z,femsocphd.bsky.social,did:plc:auj2ebuaxm22scdazhxc4a4d,homeless,,,append_test_20min,2025-09-18T12:18:40.552073+00:00,en,FeministSociologistPhD,"#StandWithUkraine 🇺🇦 Author, Qualitative Researcher, Policy/Program Developer, Semiotician, Post-Structuralist. 
Expertise in gender-based violence prevention, adolescent mental health, PAR, EPBs CQI, and acronyms.
#CanadaStrong 🚫 DMs.
One L💜ve.
🦋🇨🇦🇺🇸🇺🇦🇬🇧",40499,31331,27868,False,2024-11-07T17:53:31.982Z,https://cdn.bsky.app/img/avatar/plain/did:plc:auj2ebuaxm22scdazhxc4a4d/bafkreict7r7s4kavja3rwhcz67luxxsb5gnyn7lbey2mmtcuvq2gf723sq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:auj2ebuaxm22scdazhxc4a4d/bafkreiflju7ioov2ojajtqk4ek3u6kwvy5tztwxjpw3zb3esqes6rz7xo4@jpeg,2025-09-18T12:18:40.551916+00:00,314,88.7515923566879,1.292617535348377,53.34,24,131,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T12:18:40.552038+00:00,,,,
at://did:plc:jlvcty7mnuoszy3pa6ne7nld/app.bsky.feed.post/3lz4dhfre7c2h,bafyreiekvht3ajaxm56r5dcurplonuzurp3wjmq5lg2trv5fer3fb7ze6y,Let me get this straight. Brian Kilmeade says we should kill homeless people and Jimmy Kimmel gets the axe? Cancel Culture?,2025-09-18T12:18:44.474Z,coachmax.bsky.social,did:plc:jlvcty7mnuoszy3pa6ne7nld,homeless,,,append_test_20min,2025-09-18T12:19:40.932939+00:00,en,Coachmax,,1688,3049,451,False,2024-11-14T01:31:55.677Z,https://cdn.bsky.app/img/avatar/plain/did:plc:jlvcty7mnuoszy3pa6ne7nld/bafkreib3wmjnlk2emr4jifeyy5tv25wvc4htq6upomsojk365sfavaakya@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:jlvcty7mnuoszy3pa6ne7nld/bafkreidoymj77e532437lnt6o3d3gxadmdk2vx7rzjnsaidj7r5ofq7zju@jpeg,2025-09-18T12:19:40.932835+00:00,308,1.4642857142857142,0.5536241390619875,50.99,21,123,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T12:19:40.932916+00:00,,,,
at://did:plc:fuwjeg76xpwswe27sll422yz/app.bsky.feed.post/3lz4dhglcbs2z,bafyreica3nbpojsoeygprl2gpjak37peni2vbgz3ys3zgkpgvqpefqicpa,"Fucking hypocrite, then go after faux news, kilmead who wants to execute the homeless 🙄",2025-09-18T12:18:45.324Z,coravill.bsky.social,did:plc:fuwjeg76xpwswe27sll422yz,homeless,,,append_test_20min,2025-09-18T12:19:43.770956+00:00,en,,,387,255,2593,False,2024-11-22T03:13:41.953Z,https://cdn.bsky.app/img/avatar/plain/did:plc:fuwjeg76xpwswe27sll422yz/bafkreig7a4tcr5ntnttx5o75gxgpiuhoahvrrmotdxjrlhjrj2gupxrwdu@jpeg,,2025-09-18T12:19:43.770778+00:00,300,8.643333333333333,1.5176470588235293,26.63,15,87,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T12:19:43.770919+00:00,,,,
at://did:plc:xul7ssgjrn6fr4fgpaxvdfyp/app.bsky.feed.post/3lz4dhjk6g22j,bafyreif665xdkka3clx4z5pfvrebm6234lyo5rdf3yv5jjlpmo7ppvnote,Was this asshat taken off the air? He endorsed MURDERING HOMELESS FOLKS....RIGHT WING...CRICKETS.,2025-09-18T12:18:48.432Z,shopgirl2694.bsky.social,did:plc:xul7ssgjrn6fr4fgpaxvdfyp,homeless,,,append_test_20min,2025-09-18T12:19:49.337985+00:00,en,,"An educated suburban woman...owns dogs, artist, and lifelong democrat. 🌊
RESIST...RESIST....
🚫 No MAGA... I just block, so don't bother.
Also...not a dating site. No DMs.",2791,2463,5635,False,2024-10-10T16:50:23.308Z,https://cdn.bsky.app/img/avatar/plain/did:plc:xul7ssgjrn6fr4fgpaxvdfyp/bafkreigedaa3zt3e23n36cukopzl6ztxghuag5i4v5dozhmfrvldd6r3iy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xul7ssgjrn6fr4fgpaxvdfyp/bafkreic7xcwsnyxlumr76ndw3mjaf7l5rnmeuzjmq6erb4tpifdwn2xiwa@jpeg,2025-09-18T12:19:49.337816+00:00,342,16.476608187134502,1.1331709297604546,36.94,13,97,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T12:19:49.337948+00:00,,,,
at://did:plc:x4kcoilkcb6aeivdehsgrmgw/app.bsky.feed.post/3lz4dhjqjk22c,bafyreifa6tgquib7oidoutdilhwrd6l2di633saxor22s6ju7yn7c3ok7e,"First, ICE came for the brown and black immigrants, then  Brian Kilmeade called for the extermination of homeless citizens, now this POS is calling for rounding up transvestites and getting them off the streets. Who will be next? They want to exterminate everyone who isn't a MAGA.",2025-09-18T12:18:48.640Z,christineaa.bsky.social,did:plc:x4kcoilkcb6aeivdehsgrmgw,homeless,,,append_test_20min,2025-09-18T12:19:53.220734+00:00,en,ChristineAa,"I'm so angry about having to live with the chaos of Trump for another four years. So, I'm resisting for the next four years. 
Pro-choice, pro-LBGTQ+, pro-democracy, pro-Constitution, pro-income equality, pro-universal health care. Against MAGAS, Trump....",5503,7920,1578,False,2024-11-12T14:30:03.417Z,https://cdn.bsky.app/img/avatar/plain/did:plc:x4kcoilkcb6aeivdehsgrmgw/bafkreie2cq3k7nkzaeyccejpaqbv36rbpwfu4jiwv6nmflomk5qqeh6kyy@jpeg,,2025-09-18T12:19:53.220512+00:00,309,5.106796116504855,0.6948232323232323,54.84,47,281,0,0,0,[],[],[],False,True,True,0,False,2025-09-18T12:19:53.220695+00:00,,,,
at://did:plc:jlvcty7mnuoszy3pa6ne7nld/app.bsky.feed.post/3lz4dhyhewc2h,bafyreiewhj4uqttrey6gb7npprz3ofvqnzxvnlvs2mrl2qgnz4ffrea57i,Let me get this straight. Brian Kilmeade says we should kill homeless people and Jimmy Kimmel gets the axe?,2025-09-18T12:19:04.070Z,coachmax.bsky.social,did:plc:jlvcty7mnuoszy3pa6ne7nld,homeless,,,append_test_20min,2025-09-18T12:20:29.047916+00:00,en,Coachmax,,1688,3049,451,False,2024-11-14T01:31:55.677Z,https://cdn.bsky.app/img/avatar/plain/did:plc:jlvcty7mnuoszy3pa6ne7nld/bafkreib3wmjnlk2emr4jifeyy5tv25wvc4htq6upomsojk365sfavaakya@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:jlvcty7mnuoszy3pa6ne7nld/bafkreidoymj77e532437lnt6o3d3gxadmdk2vx7rzjnsaidj7r5ofq7zju@jpeg,2025-09-18T12:19:40.932835+00:00,308,1.4642857142857142,0.5536241390619875,50.99,19,107,0,0,0,[],[],[],False,False,False,0,True,2025-09-18T12:20:29.047892+00:00,,,,
at://did:plc:3c5jgoau5nb42r6ecka4pmpw/app.bsky.feed.post/3lz4f235ysc2x,bafyreict3cenanqdkyqrqnqmcbqddowthhjfvpgbgh56mrxxzzhddt2j44,"Brian Kilmeade’s chilling call to against the homeless is followed by a mass shooting at a Minneapolis encampment, laying bare the deadly consequences of Fox News rhetoric. Jayar Jackson breaks it down.

#Incitement #Kkkilmeade

youtube.com/watch?v=TWCI...",2025-09-18T12:47:04.630Z,br00t4c.bsky.social,did:plc:3c5jgoau5nb42r6ecka4pmpw,homeless,"""encampment""",search_api,demo_search_test,2025-09-18T14:30:21.013570+00:00,en,br00t4c,,4835,8814,5651,False,2023-11-20T13:33:52.121Z,https://cdn.bsky.app/img/avatar/plain/did:plc:3c5jgoau5nb42r6ecka4pmpw/bafkreihvabbpp3mjmwc5mqdn56kixh3gdn3y7m6xqpvt25fv45sl2bfmmu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:3c5jgoau5nb42r6ecka4pmpw/bafkreifx6e5y74mokng3sycsag4q72nmz2s2uca7kdxqgf5xidvknu2nsq@jpeg,2025-09-18T14:30:21.013401+00:00,668,8.459580838323353,0.5485591105060131,41.12,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:21.013558+00:00,2025-09-18T12:47:06.506Z,2.0,9.0,13.0
at://did:plc:vpr56ktd73ptb72fks3wbjz5/app.bsky.feed.post/3lz4f6k24g22m,bafyreifgnuzus77buyyz2qtpqk2sw36liujqckzyfic75i6vz7vr263jge,"In case you missed it, a Fox News personality called for euthanizing homeless people. Not long after, there was a mass shooting at a homeless encampment in Minnesota.",2025-09-18T12:49:34.449Z,somapsycheyogi.bsky.social,did:plc:vpr56ktd73ptb72fks3wbjz5,homeless,"""encampment""",search_api,demo_search_test,2025-09-18T14:30:20.854416+00:00,en,💥🪷TruthBeTold🪷💥,"Refugee from the post-truth world, seeking a facts-based objective reality. Truth, reasoning and critical thinking matter.",2140,621,1391,False,2024-11-13T07:15:40.584Z,https://cdn.bsky.app/img/avatar/plain/did:plc:vpr56ktd73ptb72fks3wbjz5/bafkreibprairahkhw4v6527le64ubjzt5hz3ron5raoaoc4efcg5yerwqu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:vpr56ktd73ptb72fks3wbjz5/bafkreihjdqmhyr2sxbqjitp6ghjwqdviudau5h5g72hmenwlljqd6mdx7m@jpeg,2025-09-18T14:30:20.854288+00:00,309,4.501618122977346,3.4460547504025767,41.0,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:20.854403+00:00,2025-09-18T12:49:35.608Z,0.0,0.0,0.0
at://did:plc:y6btdntnerleq4yaoyogjvrq/app.bsky.feed.post/3lz4gqvfemv2a,bafyreidlbync4z3tiow2liq733tk4h5g5uailxml6phpiovz6xa3tv5jce,Rough sleeping in Scotland is at its highest ever but we know how to fix it,2025-09-18T13:17:43.907Z,thescottishsun.co.uk,did:plc:y6btdntnerleq4yaoyogjvrq,homeless,"""rough sleeping""",search_api,demo_search_test,2025-09-18T14:30:18.479022+00:00,en,The Scottish Sun,"The home of The Scottish Sun on BlueSky bringing you the latest news, showbiz and sport",144,6,7439,False,2024-11-19T14:31:16.305Z,https://cdn.bsky.app/img/avatar/plain/did:plc:y6btdntnerleq4yaoyogjvrq/bafkreih5vmbplixvfj3x7hydp6mppzmxultjx5ahrn3faug5hktffr2jqy@jpeg,,2025-09-18T14:30:18.478860+00:00,302,24.632450331125828,24.0,21.71,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:18.479008+00:00,2025-09-18T13:17:44.808Z,0.0,0.0,0.0
at://did:plc:qmswnefybouqsrzhsrl3xoij/app.bsky.feed.post/3lz4hdd2ljs2s,bafyreiard6nh5wkaurcbsbaudxfkjeefqhmot7d5e6oj7m6say27uyvbhe,"Detailing on this enemy encampment featured in Tandar is coming together! Check it out, friends! ❄️ #gamedev #indiedev #indiegamedev #openworld #ue5",2025-09-18T13:28:00.376Z,kristala.bsky.social,did:plc:qmswnefybouqsrzhsrl3xoij,homeless,"""encampment""",search_api,demo_search_test,2025-09-18T14:30:20.688351+00:00,en,Kristala 😼⚔️ Play on Steam,"Cat Souls 😼⚔️ combine Sekiro-inspired combat, acrobatic parkour, and innovative exploration to uncover a detailed story.

✨ https://store.steampowered.com/app/1206410/Kristala/",1103,90,1524,False,2023-08-21T20:51:34.058Z,https://cdn.bsky.app/img/avatar/plain/did:plc:qmswnefybouqsrzhsrl3xoij/bafkreiday63wjbd3stj2utxmykxurbu2ve5ttzepbzj5ocv3h3gavu3pb4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:qmswnefybouqsrzhsrl3xoij/bafkreihlykyrs66mmbgdxppd72xrr7anzj3xwomr4lxzodl6rg4e5zkwlu@jpeg,2025-09-18T14:30:20.688228+00:00,758,2.0105540897097627,12.255555555555556,34.05,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:20.688342+00:00,2025-09-18T13:28:06.121Z,0.0,2.0,12.0
