uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,detected_location,location_indicators,location_confidence,keyword_matches,keyword_categories,collection_timestamp,text_length,has_location_data,has_keyword_matches,is_recent
at://did:plc:w7z7vx3hpdt577cpmdiwyhtz/app.bsky.feed.post/3lzx7aymv3c2s,bafyreie6vnegxmqhg7nhcxgyumwsg6hcutqckr2vhd2a2oqrzeroklbtnm,"The first donut shop I ordered from gave me like, 36 donuts

It was a problem (luckily there was a core group of homeless people I frequently saw in the neighborhood and they graciously took them off my hands)",2025-09-29T04:45:27.337Z,wrenispinkle.bsky.social,did:plc:w7z7vx3hpdt577cpmdiwyhtz,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:48.426664+00:00,en,Meatball Rob,"""Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.""

falo português 🇧🇷",12673,2865,3630,False,2023-06-26T01:05:34.662Z,https://cdn.bsky.app/img/avatar/plain/did:plc:w7z7vx3hpdt577cpmdiwyhtz/bafkreiembwae6a5v7dldgfmwvazq7fszzvkg3ksnzleu2someveivjiwqu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:w7z7vx3hpdt577cpmdiwyhtz/bafkreibfud7qksf6vr5wuso5ljo6uk3fza3wiwolztngugcol7nt42jqb4@jpeg,2025-09-29T04:45:48.426182+00:00,826,4.394673123486683,4.423385689354276,58.49,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:48.426643+00:00,2025-09-29T04:45:27.752Z,0,0,0,,[],0.0,['homeless'],['core_terms'],2025-09-29T04:45:56.866944+00:00,209,False,True,True
at://did:plc:3dchzy3g4nrpzihf3o5knghf/app.bsky.feed.post/3lzx6tfq64k2e,bafyreiby5dbkpnysjjecthcudqwgpzvamml34kyxkxpjwumj37dizaqx6u,"Oh, God, we do.  But a) the lawn is still ripped up for earthquake retrofitting and b) Portland isn't the Capitol. They could help house the homeless, though.",2025-09-29T04:37:51.314Z,lraff1.bsky.social,did:plc:3dchzy3g4nrpzihf3o5knghf,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:48.592880+00:00,en,,"Therapist. Artist. Introvert who is frequently wrong in an embarrasingly loud voice.   Finally old enough for Medicare and very excited about it. I don't reply to DMs, but my posts are open to replies.",839,1271,434,False,2024-11-12T02:23:01.211Z,https://cdn.bsky.app/img/avatar/plain/did:plc:3dchzy3g4nrpzihf3o5knghf/bafkreifxessfvrlh3mzm7qmsf72vexpqooi6gppsbfxyocu6xdmpp6ymbe@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:3dchzy3g4nrpzihf3o5knghf/bafkreiedaqbydfgi2kf7wv2xnu3s3ix2gs2ge4xhluefbczx5on2fwk5mu@jpeg,2025-09-29T04:45:48.592729+00:00,321,1.35202492211838,0.6601101494885917,38.91,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:48.592861+00:00,2025-09-29T04:37:52.150Z,0,0,0,ca,"['portland', 'ca', 'la', 'portland', 'profile:ca']",1.0,"['homeless', 'portland', 'ca', 'la', 'portland']","['geographic', 'profile_locations', 'core_terms']",2025-09-29T04:45:56.867113+00:00,158,True,True,True
at://did:plc:i6vusvyzi3wgoofzmfquwlbx/app.bsky.feed.post/3lzx6svlc3c2e,bafyreiaow3b25x5b76ax4ocrf2kyi2uokn4hdsaskfg5wmwr3mtz3lzelu,"NO FASCIST TAKEOVERS!
No Military Occupation of Our Cities!
Hands Off Our Youth!
No Nazi Cleansing of “The Homeless!”
The trump maga Project2025 fascist regime Must Go Now!

#trumpsAnEvilUglyLyingCheatingSchemingCriminalPedoPOSScumbagSOB

@refusefascism.bsky.social

refusefascism.org/featured-new...",2025-09-29T04:37:04.635Z,fritzjamoke.bsky.social,did:plc:i6vusvyzi3wgoofzmfquwlbx,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:48.749173+00:00,en,fritz jamoke,"I despise trump & all who enable, support & normalize that evil ugly lying cheating criminal pedo rapist traitorous scumbag pos sob",9790,11436,5529,False,2024-11-14T19:14:44.621Z,https://cdn.bsky.app/img/avatar/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreigsvqhayq27t4hcka2fdzihco6vyw7tbrn2ttohuh65fsrjjtm2hy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreibbv6pppbpaf3fssp6fhcdfxmrongfyf5jcarfit6wmv4kestmw5e@jpeg,2025-09-29T04:45:48.749061+00:00,318,17.38679245283019,0.8560685554389647,48.76,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:48.749166+00:00,2025-09-29T04:37:53.897Z,0,0,0,,[],0.0,['homeless'],['core_terms'],2025-09-29T04:45:56.867311+00:00,300,False,True,True
at://did:plc:x5qhzinayjm5frsslrdpuroz/app.bsky.feed.post/3lzx6rynqvc25,bafyreiakxwfnhiopo4jkkk4r757rpo6wbuepkezzodznaxeesngluw66oe,"oh, cool. Investors will just have to guess which companies are worth investing in now. Like blind boxes, except if you pick the wrong ones you end up homeless. Cool cool cool cool cool.",2025-09-29T04:37:04.050Z,freezasaurus.bsky.social,did:plc:x5qhzinayjm5frsslrdpuroz,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:48.911273+00:00,en,𝐅𝐫𝐞𝐞𝐳𝐚𝐬𝐚𝐮𝐫𝐮𝐬 🍩🦖,Toriyama Enthusiast | Video Game Enjoyer | Figure Collector | I read comic books sometimes | Bookworm | Ask me about my unpopular opinions | He/Him,403,475,6638,False,2023-07-01T23:10:16.376Z,https://cdn.bsky.app/img/avatar/plain/did:plc:x5qhzinayjm5frsslrdpuroz/bafkreiced4xcqjhtc5zcl2543yukvwgeexi6fqfosnside45ljc23h2kzu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:x5qhzinayjm5frsslrdpuroz/bafkreibe6v5o2gwhrmgnymfksxead6cifghjqmji4muqc5ktno5dfheb4a@jpeg,2025-09-29T04:45:48.911127+00:00,820,8.095121951219513,0.848421052631579,26.37,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:48.911256+00:00,2025-09-29T04:37:06.749Z,0,0,0,la,['profile:la'],0.5,['homeless'],['core_terms'],2025-09-29T04:45:56.867400+00:00,186,True,True,True
at://did:plc:6z46h2ibye4vk5uwpchjmo7d/app.bsky.feed.post/3lzx6mkmtss2v,bafyreidulw7hlkfd4wwygrvvzlgyiv5sjnkmbrnywsusejfajf7aibksei,"Ah, Santa Clarita. I remember they wanted to bus all their homeless to Los Angeles back in the 2000s.",2025-09-29T04:34:01.567Z,oneamahira.bsky.social,did:plc:6z46h2ibye4vk5uwpchjmo7d,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:49.087953+00:00,en,"One Amahira, MA","18+ sex positivity & NSFW art enjoyer. MA in psychology, writer, 1/2 boot strapping entrepreneur, immunocompromised, post midlife crisis, tired AF. Anti-imperialist. Lover of tea.🧂🍵",2108,1049,1984,False,2024-10-21T17:21:54.809Z,https://cdn.bsky.app/img/avatar/plain/did:plc:6z46h2ibye4vk5uwpchjmo7d/bafkreifjwyo7ljln7oyt3khyeesex6isuhdbeatrl746h2n2wkzuftwj5e@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:6z46h2ibye4vk5uwpchjmo7d/bafkreietjolilezjskwdjwf4kkxwjdaej5pstorc7vbop5tt7teg3r64o4@jpeg,2025-09-29T04:45:49.087878+00:00,342,5.8011695906432745,2.009532888465205,38.55,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:49.087946+00:00,2025-09-29T04:34:03.653Z,1,1,1,sf,"['los angeles', 'los angeles', 'la', 'profile:sf']",1.0,"['homeless', 'los angeles', 'los angeles', 'la']","['geographic', 'profile_locations', 'core_terms']",2025-09-29T04:45:56.867461+00:00,101,True,True,True
at://did:plc:ksewki6hptwg3ddwkviq2qqz/app.bsky.feed.post/3lzx6iaoqtk2b,bafyreidaqyqmvinms6raln4cwpbw5ouocnhipllj2lglrpvngolzpgejbi,"Yep, that's me, politically homeless, broiling my cans of beans over the burning trash barrels of social media.",2025-09-29T04:31:36.927Z,houfek.bsky.social,did:plc:ksewki6hptwg3ddwkviq2qqz,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:49.247644+00:00,en,Give War A Chance,"Exiled from the Bird Site for taking the fight to the terrorists.  Actually pretty friendly when not dealing with extremists and whackos.  Still, I've got something to make just about anybody mad.",400,247,20265,False,2024-11-15T01:01:31.343Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ksewki6hptwg3ddwkviq2qqz/bafkreib5fq66gtpr4ttrgqpeu7gmfvr3clwkmbadg5pguw6vg2sxrygway@jpeg,,2025-09-29T04:45:49.247495+00:00,318,63.72641509433962,1.6194331983805668,26.13,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:49.247627+00:00,2025-09-29T04:31:36.250Z,0,0,0,ny,"['ca', 'profile:ny']",0.8,"['homeless', 'ca']","['profile_locations', 'core_terms']",2025-09-29T04:45:56.867516+00:00,111,True,True,True
at://did:plc:i6vusvyzi3wgoofzmfquwlbx/app.bsky.feed.post/3lzx6h3g5qs2e,bafyreid2ih4y2u47vqvt4yqohryh3b5m3jewgmzfecyi66iisdibb234bq,"NO FASCIST TAKEOVERS!
No Military Occupation of Our Cities!
Hands Off Our Youth!
No Nazi Cleansing of “The Homeless!”
The trump maga Project2025 fascist regime Must Go Now!

#trumpsAnEvilUglyLyingCheatingSchemingCriminalPedoPOSScumbagSOB

@refusefascism.bsky.social

refusefascism.org/featured-new...",2025-09-29T04:30:33.082Z,fritzjamoke.bsky.social,did:plc:i6vusvyzi3wgoofzmfquwlbx,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:49.247799+00:00,en,fritz jamoke,"I despise trump & all who enable, support & normalize that evil ugly lying cheating criminal pedo rapist traitorous scumbag pos sob",9790,11436,5529,False,2024-11-14T19:14:44.621Z,https://cdn.bsky.app/img/avatar/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreigsvqhayq27t4hcka2fdzihco6vyw7tbrn2ttohuh65fsrjjtm2hy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreibbv6pppbpaf3fssp6fhcdfxmrongfyf5jcarfit6wmv4kestmw5e@jpeg,2025-09-29T04:45:48.749061+00:00,318,17.38679245283019,0.8560685554389647,48.76,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:49.247788+00:00,2025-09-29T04:31:17.349Z,1,0,0,,[],0.0,['homeless'],['core_terms'],2025-09-29T04:45:56.867594+00:00,300,False,True,True
at://did:plc:xraomsuf6pvh7r2cqtdwhkvm/app.bsky.feed.post/3lzx6bjluv227,bafyreigc4ksgg3vywgfe2typnbuvxbsco2swb6lo2ssoqqeziqn7z4w37y,Tonight a homeless youth complimented my car so I gave him a ride to the train station: Here's what I learned about cold-pitching B2B SaaS.,2025-09-29T04:27:51.388Z,swiftonsecurity.com,did:plc:xraomsuf6pvh7r2cqtdwhkvm,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:49.407230+00:00,en,SwiftOnSecurity,computer security person. former helpdesk.,93134,951,10098,False,2023-04-25T03:22:58.360Z,https://cdn.bsky.app/img/avatar/plain/did:plc:xraomsuf6pvh7r2cqtdwhkvm/bafkreigkflgbstryz743axekxvkl2x4k6vlfo6xtl2i4veu7mpvpq6ubmq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xraomsuf6pvh7r2cqtdwhkvm/bafkreia25rmctn3wqecwk53srdz6xnpcrghzkmgvp5ujqsbohu76mws72u@jpeg,2025-09-29T04:45:49.407058+00:00,888,11.371621621621621,97.93270241850684,95.81,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:49.407211+00:00,2025-09-29T04:27:51.554Z,0,3,63,ca,['ca'],0.3,"['homeless', 'homeless youth', 'ca']","['profile_locations', 'demographics', 'core_terms']",2025-09-29T04:45:56.867648+00:00,139,True,True,True
at://did:plc:xp3txmviwa3cygkb6vdjedwk/app.bsky.feed.post/3lzx5zsu6rk2p,bafyreifofs5iortnryqgzxdic4rak7grgxheydgmvlurppswejzariuaiu,"The howls and moans continue. I look back and she has changed course and is walking the same way I am. There's an old folks home right there and I don't know if she escaped or is homeless or what. 

On the way back, she was gone, but I kept thinking she would jump out like a silent hill zombie",2025-09-29T04:23:32.662Z,kwullums.bsky.social,did:plc:xp3txmviwa3cygkb6vdjedwk,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:49.570440+00:00,en,Kyle Emerson Williams For Senate (R-CO),"Holy ghost(search my posts), shitposter extraordinaire, forgoing starting a church to run for senate. GOP but anti Trump. Taking the party back. 
https://venmo.com/code?user_id=2347976747909120676&created=1752362144",679,123,15371,False,2024-11-07T20:11:41.178Z,https://cdn.bsky.app/img/avatar/plain/did:plc:xp3txmviwa3cygkb6vdjedwk/bafkreicplqtda73strrmmfkcctg73fpcl2miu3bduqep7zdthdnlshfpyq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xp3txmviwa3cygkb6vdjedwk/bafkreifpp6oetae2v5wylzubhmkve5rhntfcukoco26fapy4vx7piarlyy@jpeg,2025-09-29T04:45:49.570225+00:00,325,47.29538461538461,5.520325203252033,28.55,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:49.570414+00:00,2025-09-29T04:23:33.154Z,1,0,0,ca,['ca'],0.3,"['homeless', 'ca']","['profile_locations', 'core_terms']",2025-09-29T04:45:56.867725+00:00,294,True,True,True
at://did:plc:w7q5zvrqqs46owtxlapad6nr/app.bsky.feed.post/3lzx5le6kis26,bafyreif6vmdupjcoifwzesmemou7nn3rudhpu6cpak5vs4wn7jh77xzawe,"I’d rather support homeless population.

Wish congress would stop his ongoing spending especially on frivolous stuff like 24K gold deco, new ‘patio’ and useless ballroom. At most, only 1% of American public benefits from patio and ballroom. 

Only dictators behave this way.",2025-09-29T04:15:27.512Z,aiwhistler.bsky.social,did:plc:w7q5zvrqqs46owtxlapad6nr,homeless,homeless,search,socmed_search_10min,2025-09-29T04:45:49.735067+00:00,en,Arya The Fighter,"MIMS - Make It Make Sense
Believer of Free Speech
Proud Whistleblower
Fighter for homeless, poverty patients rights
Mom of 4
Animals have rights too
Mom to many Fur-babies
Believe AI should be used cautiously",308,360,257,False,2024-11-14T12:40:47.289Z,https://cdn.bsky.app/img/avatar/plain/did:plc:w7q5zvrqqs46owtxlapad6nr/bafkreiggk3vh3347fyk3whb6gjb73twlgwmvngdgzhtamyd74doqg377bu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:w7q5zvrqqs46owtxlapad6nr/bafkreidjh5smh7en6sw2gcdwnizrrrs2yx5n24ngu7m4addakj7qbwhfe4@jpeg,2025-09-29T04:45:49.734893+00:00,318,0.8081761006289309,0.8555555555555555,30.89,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:45:49.735050+00:00,2025-09-29T04:15:28.255Z,0,0,0,ca,"['america', 'ca', 'la', 'america', 'profile:ca', 'profile:ny']",1.0,"['homeless', 'homeless population', 'america', 'ca', 'la', 'america']","['geographic', 'profile_locations', 'demographics', 'core_terms']",2025-09-29T04:45:56.867806+00:00,274,True,True,True
