uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,detected_location,location_indicators,location_confidence,keyword_matches,keyword_categories,collection_timestamp,text_length,has_location_data,has_keyword_matches,is_recent
at://did:plc:3zrr6zmmtkevnb2ssibsisdb/app.bsky.feed.post/3lysswsrw4s24,bafyreihoprfvbwlacvdh4h57tekjzgylpveuppq2sk4zno7thkepyz3zna,Make Trump homeless!,2025-09-14T17:29:10.184Z,minghow1.bsky.social,did:plc:3zrr6zmmtkevnb2ssibsisdb,trump homeless,trump homeless,search,socmed_search_60min,2025-09-29T11:38:50.252449+00:00,en,,,1474,82,6892,False,2024-11-18T08:44:13.145Z,https://cdn.bsky.app/img/avatar/plain/did:plc:3zrr6zmmtkevnb2ssibsisdb/bafkreia5u3rqq7g5kwgopbrot3ehcnchkjebqmez2jdr3yqxl3zt467xhq@jpeg,,2025-09-29T11:38:50.252079+00:00,315,21.87936507936508,17.975609756097562,32.76,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T11:38:50.252433+00:00,2025-09-14T17:29:11.304Z,1,0,9,,[],0.0,['homeless'],['core_terms'],2025-09-29T11:39:30.370187+00:00,20,False,True,False
at://did:plc:bj3gx43h4pz3yjxi35ukdjoi/app.bsky.feed.post/3lxnk5a66ns2t,bafyreiexwuf6t5a5hx6hjxzgiggyqrqxbob53a2jlnjbuejygyiyv7djne,"Let's MAKE DONALD TRUMP HOMELESS

Thank you for your attention to this matter.",2025-08-30T21:43:11.547Z,surelyucantbser.bsky.social,did:plc:bj3gx43h4pz3yjxi35ukdjoi,trump homeless,trump homeless,search,socmed_search_60min,2025-09-29T11:39:28.957956+00:00,en,SurelyUCantBSerious,"AMERICA HELD HOSTAGE    DAY 251  Sept 28, 2025

EPSTEIN EPSTEIN EPSTEIN EPSTEIN   Release ALL the files

We must not go quietly into that good night

Oh FFS someone do the right thing

'Scientia potentia est'",1157,147,4598,False,2024-11-11T03:35:18.986Z,https://cdn.bsky.app/img/avatar/plain/did:plc:bj3gx43h4pz3yjxi35ukdjoi/bafkreid4jsrj4l2eqksbxshbqzvju3euh5ewf53fzvp7ildfozplqahwai@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:bj3gx43h4pz3yjxi35ukdjoi/bafkreibdd2dvhs24hky2e5t5tcvl5q76t672om4tndup2vzajutgugkswe@jpeg,2025-09-29T11:39:28.957788+00:00,322,14.279503105590063,7.870748299319728,31.9,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T11:39:28.957946+00:00,2025-08-30T21:43:12.605Z,3,0,22,america,"['profile:america', 'profile:ca', 'profile:america']",1.0,['homeless'],['core_terms'],2025-09-29T11:39:30.370273+00:00,78,True,True,False
