uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,detected_location,location_indicators,location_confidence,keyword_matches,keyword_categories,collection_timestamp,text_length,has_location_data,has_keyword_matches,is_recent
at://did:plc:i6vusvyzi3wgoofzmfquwlbx/app.bsky.feed.post/3lzx7jaiobx2e,bafyreie6cahaqzoxcjinwjzglfh4yhq5hggtvgahv4q7ohlhsrixfjgivu,"NO FASCIST TAKEOVERS!
No Military Occupation of Our Cities!
Hands Off Our Youth!
No Nazi Cleansing of “The Homeless!”
The trump maga Project2025 fascist regime Must Go Now!

#trumpsAnEvilUglyLyingCheatingSchemingCriminalPedoPOSScumbagSOB

@refusefascism.bsky.social

refusefascism.org/featured-new...",2025-09-29T04:49:59.856Z,fritzjamoke.bsky.social,did:plc:i6vusvyzi3wgoofzmfquwlbx,homeless,homeless,search,socmed_search_30min,2025-09-29T04:50:52.744285+00:00,en,fritz jamoke,"I despise trump & all who enable, support & normalize that evil ugly lying cheating criminal pedo rapist traitorous scumbag pos sob",9790,11436,5536,False,2024-11-14T19:14:44.621Z,https://cdn.bsky.app/img/avatar/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreigsvqhayq27t4hcka2fdzihco6vyw7tbrn2ttohuh65fsrjjtm2hy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreibbv6pppbpaf3fssp6fhcdfxmrongfyf5jcarfit6wmv4kestmw5e@jpeg,2025-09-29T04:50:52.743886+00:00,318,17.40880503144654,0.8560685554389647,48.75,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:50:52.744269+00:00,2025-09-29T04:50:28.773Z,1,0,0,,[],0.0,['homeless'],['core_terms'],2025-09-29T04:51:00.804310+00:00,300,False,True,True
at://did:plc:vzmnljt7otfbbgrmachtefxh/app.bsky.feed.post/3lzx7jl7ick2f,bafyreiebozighvsxupqe5s6lqzbpvdy7m4jahqe6pb2nnfskiiur2ilb4y,"Race to the Áras: Catherine Connolly hits out at comments by election rival Heather Humphreys on housing crisis

Catherine Connolly has said she is concerned at comments by Heather Humphreys that she said sought to downplay the ­housing crisis by describing it as a “challenge”.
",2025-09-29T04:30:00.000000Z,news-flows-ir.bsky.social,did:plc:vzmnljt7otfbbgrmachtefxh,housing crisis,housing crisis,search,socmed_search_30min,2025-09-29T04:51:22.576128+00:00,en,Irish News 🇮🇪,"Bot combinator of RSS feeds of Irish news sites rte.ie, thejournal.ie, independent.ie, breakingnews.ie, irishtimes.com, news.sky.com, irishexaminer.com, irishmirror.ie, joe.ie, and thesun.ie",216,2,644535,False,2025-03-12T18:58:08.946Z,https://cdn.bsky.app/img/avatar/plain/did:plc:vzmnljt7otfbbgrmachtefxh/bafkreigazgnggxzg5wape7ej2uxdnlmlhrmqbg3om72dj74qgpniqahbmy@jpeg,,2025-09-29T04:51:22.575906+00:00,200,3222.675,108.0,23.37,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T04:51:22.576109+00:00,2025-09-29T04:50:15.452Z,0,0,0,ca,"['ca', 'la']",0.6,"['housing crisis', 'ca', 'la']","['profile_locations', 'core_terms']",2025-09-29T04:51:33.068722+00:00,279,True,True,True
