uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,detected_location,location_indicators,location_confidence,keyword_matches,keyword_categories,collection_timestamp,text_length,has_location_data,has_keyword_matches,is_recent
at://did:plc:ed4uvcg4ocjxgfi2b53nprae/app.bsky.feed.post/3lzsaq6kgzs2d,bafyreiewsb5bgl34sgfrik7rw3jsycro4naoe5ks3l5fktuuyienagixjq,"Fr, also so much other Good! Improved infrastructure where shops & home are nearby! Libraries, museums, schools, homeless housing with mental & aid help! & shipping commissions & Animated fanfiction as you said 🥹 WTH would I need 30 cars, 7 yachts or 5 mansions for?!",2025-09-27T05:28:31.914Z,goodchaos.bsky.social,did:plc:ed4uvcg4ocjxgfi2b53nprae,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:12:50.559256+00:00,en,Good Chaos,"Age 42, Vaxxed, Boosted 💉Love Anime!
Love lots of stuff really, but picky about what I eat. Fair Warning, some reposts might be NSFW #nsfw 🔞",314,645,337,False,2023-09-02T22:13:30.726Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ed4uvcg4ocjxgfi2b53nprae/bafkreigecpgz5rweu2lgn4isbpzute232vg3st75vpyfgst34plicot7xe@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ed4uvcg4ocjxgfi2b53nprae/bafkreiefxnttnd5cjeuyaoufu2inrciaj5sni2xcwqbsjulkrljhc4njm4@jpeg,2025-09-29T05:12:50.558965+00:00,757,0.44517833553500663,0.4868217054263566,29.64,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:12:50.559244+00:00,2025-09-27T05:28:32.252Z,0,0,3,sf,"['ca', 'profile:sf']",0.8,"['homeless', 'ca']","['profile_locations', 'core_terms']",2025-09-29T05:14:00.134216+00:00,267,True,True,True
at://did:plc:wczkddeemvrmes6pq7xpr7al/app.bsky.feed.post/3lzolgqv2as2u,bafyreibdous45mypjtbzrjcn7pfgtjgsjt5twu3xdzc47xjydbzq6mgiry,Yeah the “killing the Japantown homeless housing project” along with the fact his chief of staff was a paid consultant to kill low income senior housing in the east bay is a pretty decisive answer to the “Was he a NIMBY?” question.  Even if we buy the bullshit excuses on the other projects he killed,2025-09-25T18:29:27.799Z,urbanlandrent.foundation,did:plc:wczkddeemvrmes6pq7xpr7al,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:12:52.935255+00:00,en,French 75 Apologist🚰,"I do housing policy stuff and it’s ruining my life.  CADA and SOE fanboy. House Sacramento’s most annoying member.

Urban Land Rent Foundation’s official letterboxd: boxd.it/cUU0R",3411,474,4347,False,2023-04-28T00:48:37.248Z,https://cdn.bsky.app/img/avatar/plain/did:plc:wczkddeemvrmes6pq7xpr7al/bafkreibpwn4tcoyle2bzji35gi6ynbycqwzpcbxrke3v6qwcbrxtku56de@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:wczkddeemvrmes6pq7xpr7al/bafkreifmzydgxqrsnii4tc2gmw2r2lwozdhquatxfctnik5smdubo5zx24@jpeg,2025-09-29T05:12:52.935129+00:00,885,4.911864406779661,7.19620253164557,39.25,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:12:52.935245+00:00,2025-09-25T18:29:28.450Z,1,0,3,sacramento,"['profile:sacramento', 'profile:ca', 'profile:la', 'profile:sacramento']",1.0,['homeless'],['core_terms'],2025-09-29T05:14:00.134332+00:00,300,True,True,True
at://did:plc:2yqbcibwju52sxdtl6w5e7pp/app.bsky.feed.post/3lzoh3lxzv22q,bafyreibjs6twsxc5od6tjdoq46oxxcj5t6ovras4sjfcqcw6wmqls42fia,Convert it to homeless housing.,2025-09-25T17:11:38.586Z,kathmulcahy.bsky.social,did:plc:2yqbcibwju52sxdtl6w5e7pp,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:12:53.095429+00:00,en,KathleenMulcahy,"Love is all there is. Citizen. Learner.NJ roots, OBX ♥️.",937,1343,901,False,2023-12-23T18:40:19.142Z,https://cdn.bsky.app/img/avatar/plain/did:plc:2yqbcibwju52sxdtl6w5e7pp/bafkreidmwh3an2cmwcpo3pby3gxazxj4nc2vx33fb3qdvlc5snpdp7d4py@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:2yqbcibwju52sxdtl6w5e7pp/bafkreibycgkq5wpfxchpfug64yvt7mu2qrfbeuirplf3ea7piaoxuwmrza@jpeg,2025-09-29T05:12:53.095308+00:00,645,1.3968992248062015,0.6976917349218168,34.92,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:12:53.095417+00:00,2025-09-25T17:11:40.054Z,0,0,3,,[],0.0,['homeless'],['core_terms'],2025-09-29T05:14:00.134375+00:00,31,False,True,True
at://did:plc:dtsycdsfbvjdiefetwy6ymck/app.bsky.feed.post/3lzobvkdtok2s,bafyreih4zch5seetbhf7vjadq374yafcgz3doaulikudq3v27wgphbtsk4,"Disappointed in Newsom's continued shift to the right. From broken promises on single-payer and homeless housing (AB 1418) to attacks on trans people and striking workers. He called Trump a ""socialist"" recently which is also laughable and the Trump-style memes were cringe AF. Not transformative IMO.",2025-09-25T15:38:46.843Z,derrickleftthis.bsky.social,did:plc:dtsycdsfbvjdiefetwy6ymck,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:12:53.971291+00:00,en,DerrickLeftThis (CA40),Socialism over Barbarism | Ex-Democrat ➡️ #GreenParty | Proud dad & husband | Vox/Guitar in Kill Cupid | IT by trade | 90s rock enthusiast | (he/him),822,522,1715,False,2024-11-14T22:10:39.140Z,https://cdn.bsky.app/img/avatar/plain/did:plc:dtsycdsfbvjdiefetwy6ymck/bafkreiecl55lu7g5lffffdffjgvdbfrxwnovjm3g6nbf43hxm42irdhboy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:dtsycdsfbvjdiefetwy6ymck/bafkreigah633jlmvuplreyuqaeivf3cbzoupzqn5ogi6kpjkrocy7kubyi@jpeg,2025-09-29T05:12:53.971223+00:00,318,5.3930817610062896,1.5747126436781609,31.55,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:12:53.971285+00:00,2025-09-25T15:38:46.154Z,1,0,0,ca,"['ca', 'la', 'sf']",0.8,"['homeless', 'ca', 'la', 'sf']","['profile_locations', 'core_terms']",2025-09-29T05:14:00.134456+00:00,300,True,True,True
at://did:plc:ab3hb5knartyplesrbflf5sm/app.bsky.feed.post/3lze64arwl224,bafyreibfb7umvt5wlysppcje2uofaa2u4vg663xizr4jxjoaqq6yrdvz2u,"I'M LITERALLY A NORMAL PRIORITY ACTUAL HOMELESS HOUSING CASE. AND THAT'S THE PROBLEM.

WHY AREN'T YOU RECOGNISING NORMAL CHRONOLOGICAL BEHAVIOUR ITS EVEN HEAVILY TONED DOWN IN COMPARISON TO THE AVERAGE HIGH TRAUMA VICTIM, SO WHY IS NORMAL HOMELESSNESS LOOKING COMPLETELY ALIEN TO HOUSING OFFICERS?",2025-09-21T15:04:19.348Z,realmoniquelewis.bsky.social,did:plc:ab3hb5knartyplesrbflf5sm,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:12:59.842608+00:00,en,Monique Lewis,Just watch Family Guy or something. - ML,38,12,10002,False,2025-07-27T09:52:06.499Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ab3hb5knartyplesrbflf5sm/bafkreighnwdt2gwq3ivlavom3s4jb27bfcdeclnroou7pn6wqq4uicjwtq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ab3hb5knartyplesrbflf5sm/bafkreiaamkwc3cclievace6trl3aillvvclrs3wapiobbw2szuxj6l7sey@jpeg,2025-09-29T05:12:59.842505+00:00,63,158.76190476190476,3.1666666666666665,15.93,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:12:59.842599+00:00,2025-09-21T15:04:19.808Z,0,0,0,ca,['ca'],0.3,"['homeless', 'homelessness', 'ca']","['profile_locations', 'core_terms']",2025-09-29T05:14:00.134526+00:00,297,True,True,False
at://did:plc:rlapoep7m55e7ncsm4cjlqw7/app.bsky.feed.post/3lz7rps555k2i,bafyreie6akxcocgonvlc44oj33f4uhmd5bjtq6ukqqltg2oqesgfatgujm,"Because of DOGE, nearly 150,000 Tarrant residents will lose services most affecting nonprofits that provide social services, kids’ education, homeless housing, and meals for the elderly. 

Meanwhile, Trump’s tax bill lets the wealthiest 1% in Tarrant pay $230–500 million less in taxes.",2025-09-19T21:11:57.478Z,nikolajbill.bsky.social,did:plc:rlapoep7m55e7ncsm4cjlqw7,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:13:02.992074+00:00,en,Nikolaj Bill,"Catholic without a home, Recovering ex-Trad, Social Democrat, Linguist, and Hockey Fan. I mistype a lot.",1466,613,13151,False,2023-07-13T21:40:45.336Z,https://cdn.bsky.app/img/avatar/plain/did:plc:rlapoep7m55e7ncsm4cjlqw7/bafkreie6jb3jduhdkgulr6s7s5ilnzt3yuiqsxl6x4yuggiln3gyc6kmky@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:rlapoep7m55e7ncsm4cjlqw7/bafkreid5qidaan2u6fqzpjcv2jeos2rmdkmjc24h5kxanctv5zhok5zrei@jpeg,2025-09-29T05:13:02.991934+00:00,808,16.275990099009903,2.3915171288743884,32.22,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:13:02.992064+00:00,2025-09-19T21:12:01.606Z,0,0,1,ca,"['ca', 'profile:ca']",0.8,"['homeless', 'ca']","['profile_locations', 'core_terms']",2025-09-29T05:14:00.134604+00:00,286,True,True,False
at://did:plc:q5jgzvr4fivpzqta3dadvwyq/app.bsky.feed.post/3lz7ogd5fws2z,bafyreibai3jdfbqcmjx6ig2dfvwwesqpaeccgsm3v53k2xrzyumj5oae54,We will make homeless housing or use it for something antithetical to Trump Crime Regime attacks and hatred policies.,2025-09-19T20:12:58.543Z,anewblueunion.bsky.social,did:plc:q5jgzvr4fivpzqta3dadvwyq,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:13:03.152901+00:00,en,Let’s Form a New Blue Union,"Democracy lover, enjoyer, defender.

Trying to understand what’s happening and what to do about it

Fiscally conservative, socially liberal.

🇺🇸🏳️‍🌈🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇪🇮🇹🇨🇦🇺🇦",247,252,1396,False,2025-08-25T18:54:26.797Z,https://cdn.bsky.app/img/avatar/plain/did:plc:q5jgzvr4fivpzqta3dadvwyq/bafkreif6drqa6bky4xjymh4wq7hz2rufu5l6bxoyektqpeanp3kofzsdbe@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:q5jgzvr4fivpzqta3dadvwyq/bafkreiftr3s4ju4kq4wwhpz6ape2siolrv3nn2eaenhl6cchnqytqc4gom@jpeg,2025-09-29T05:13:03.152766+00:00,34,41.05882352941177,0.9801587301587301,24.83,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:13:03.152890+00:00,2025-09-19T20:12:59.322Z,0,0,0,ca,"['ca', 'profile:ca']",0.8,"['homeless', 'ca']","['profile_locations', 'core_terms']",2025-09-29T05:14:00.134657+00:00,117,True,True,False
at://did:plc:rlapoep7m55e7ncsm4cjlqw7/app.bsky.feed.post/3lz7hvzynn22u,bafyreidmhrzj5kbdqgvdxebftg3nmpdqnp6x6d7cz5ldhxdewo5d6bywd4,"Because of DOGE, nearly 150,000 Tarrant residents will lose services most affecting nonprofits that provide social services, kids’ education, homeless housing, and meals for the elderly. 

Meanwhile, Trump’s tax bill lets the wealthiest 1% in Tarrant pay $230–500 million less in taxes.",2025-09-19T18:16:29.628Z,nikolajbill.bsky.social,did:plc:rlapoep7m55e7ncsm4cjlqw7,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:13:03.153033+00:00,en,Nikolaj Bill,"Catholic without a home, Recovering ex-Trad, Social Democrat, Linguist, and Hockey Fan. I mistype a lot.",1466,613,13151,False,2023-07-13T21:40:45.336Z,https://cdn.bsky.app/img/avatar/plain/did:plc:rlapoep7m55e7ncsm4cjlqw7/bafkreie6jb3jduhdkgulr6s7s5ilnzt3yuiqsxl6x4yuggiln3gyc6kmky@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:rlapoep7m55e7ncsm4cjlqw7/bafkreid5qidaan2u6fqzpjcv2jeos2rmdkmjc24h5kxanctv5zhok5zrei@jpeg,2025-09-29T05:13:02.991934+00:00,808,16.275990099009903,2.3915171288743884,32.22,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:13:03.153023+00:00,2025-09-19T18:16:33.711Z,0,0,0,ca,"['ca', 'profile:ca']",0.8,"['homeless', 'ca']","['profile_locations', 'core_terms']",2025-09-29T05:14:00.134719+00:00,286,True,True,False
at://did:plc:haubvgtjqnqunhibmx6ev7ko/app.bsky.feed.post/3lz5n2ww7os2m,bafyreids65cqqsiq7lzgk25cr2axfszdy7vcvydmgirdjmnbx6kvfdzlfa,"There are an countless number of real estate properties that are vacant all across America.  Much of this could be converted to homeless housing, benefitting EVERYONE. 

Why isn't this happening?",2025-09-19T00:43:23.408Z,voteearlyvoteoften.bsky.social,did:plc:haubvgtjqnqunhibmx6ev7ko,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:13:04.741121+00:00,en,August West,"Rogue, music aficionado, world traveler, Spread Head, political reformist, empathist and damn good cook.  Still sporting a 512 area code. Oh, and fuck you to Trump and his minions.  Be Kind. #makeMAGAcry",4560,5609,4867,False,2025-06-11T22:42:36.641Z,https://cdn.bsky.app/img/avatar/plain/did:plc:haubvgtjqnqunhibmx6ev7ko/bafkreierjbxfw4jm2wwdmluwotqxwtospi2mpgzlth3msmlh4ryzil5z4y@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:haubvgtjqnqunhibmx6ev7ko/bafkreihmsao3ievo7u5rvfnvxbvwu55bxhpuedrj7qt4gnpimvgdclgfxi@jpeg,2025-09-29T05:13:04.741020+00:00,109,44.65137614678899,0.8129791406667856,41.28,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:13:04.741115+00:00,2025-09-19T00:43:24.101Z,0,0,1,ca,"['america', 'ca', 'america', 'profile:ca']",1.0,"['homeless', 'america', 'ca', 'america']","['geographic', 'core_terms', 'profile_locations']",2025-09-29T05:14:00.134785+00:00,195,True,True,False
at://did:plc:gda2yrd36yjgkv4qhei6sdk6/app.bsky.feed.post/3lz3uk7n3yk2t,bafyreie3omss2w6rhebjyogrmbvvu7njldunrlecdrkibbgtzt5quitnzi,We tried that and had private for profit homeless housing... The building has since been condemned cause they trashed it - and it used to be a really nice building.... I think the for profit dude took the cash and ran...,2025-09-18T07:51:52.579Z,squee22.bsky.social,did:plc:gda2yrd36yjgkv4qhei6sdk6,homeless housing,homeless housing,search,socmed_search_60min,2025-09-29T05:13:05.783791+00:00,en,Brian🇺🇦🇨🇦,"Born at 54 degrees.

As the old hellsite dies, the new one rises. 
Same name on the other hellsite - if you were looking for me, here I am",2469,2518,4531,False,2024-11-11T01:19:41.279Z,https://cdn.bsky.app/img/avatar/plain/did:plc:gda2yrd36yjgkv4qhei6sdk6/bafkreid6myl7evtqhe64gq37xl4ytv53a3dgivwak5hyequgkwzthg6mhe@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:gda2yrd36yjgkv4qhei6sdk6/bafkreidridnq2zbkehq2f3b4e4iejjq4gvnmy7cn5bdc7g7qb5qmtxi5be@jpeg,2025-09-29T05:13:05.783651+00:00,322,14.071428571428571,0.9805401111993646,36.65,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:13:05.783775+00:00,2025-09-18T07:51:53.308Z,0,0,2,ca,['ca'],0.3,"['homeless', 'ca']","['profile_locations', 'core_terms']",2025-09-29T05:14:00.134940+00:00,220,True,True,False
