uri,cid,text,created_at,keyword,lang,author_handle,author_did,author_display_name,author_description,author_avatar,author_followers_count,author_following_count,author_posts_count,author_verified,like_count,repost_count,reply_count,total_engagement,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,has_media,is_reply
at://did:plc:ahwzcvklmantb3er2rsbf7p7/app.bsky.feed.post/3m2jvtatsms2m,bafyreicvdntdclfbzh55mlnjo4vvc6kxqncdd3v45zsxcu6wc6qn4vqopa,"I'm right there with them..I'm 68 years old and worked my ass off from the age of 17 to 58..my body is worn out so I had double shoulder joint replacement 

My social security payments and a small pension keeps me alive.

Take it away and im homeless and eating out of garbage cans. 

Fuking Trump.😡",2025-10-06T15:17:17.541Z,homeless,en,8-o-9.bsky.social,did:plc:ahwzcvklmantb3er2rsbf7p7,,,https://cdn.bsky.app/img/avatar/plain/did:plc:ahwzcvklmantb3er2rsbf7p7/bafkreic6jil3julkmbcblfi3xvgrdxj7np26zw2jewucjnmodjxrdvrspi@jpeg,1975,4779,35,False,2,0,0,2,56,299,0,0,0,,,False,True
at://did:plc:fqpetjkghv5wa74f76kex46h/app.bsky.feed.post/3m2jvsiww2s2t,bafyreiedpdrhhzhuaga7cjyhcvnhyid7tmfotfu72yj6mfua7gyplowg64,"I was listening to a YouTube vid on the buildup to and fallout after the 1929 beginning of the Great Depression and the consequences to the average Joe. 
One month you've got a job, savings, food and a home, shortly after the GD you are hungry and homeless.
Tick Tock",2025-10-06T15:16:52.479Z,homeless,en,collapsewatch3.bsky.social,did:plc:fqpetjkghv5wa74f76kex46h,BeWell Antifa,,https://cdn.bsky.app/img/avatar/plain/did:plc:fqpetjkghv5wa74f76kex46h/bafkreiddc5tu5oicixhybwje5icuhfuazp4mwsg6xbtapawlnoihweglde@jpeg,1469,594,3488,False,0,0,0,0,50,267,0,0,0,,,False,True
at://did:plc:vu4lqliyjzx5bhrwu72zwjjy/app.bsky.feed.post/3m2jvnsete22x,bafyreieztq3umwm7hsvm57kppd3kuugmzzwzpsxefimbs5ifvfwlbpeq4m,"I saw a homeless person drinking Pace Picante sauce directly from the jar on my way home. And I thought, ""What a strange place for product placement.""

I watch too much TV.",2025-10-06T15:14:14.600Z,homeless,en,ninjacomic.bsky.social,did:plc:vu4lqliyjzx5bhrwu72zwjjy,The Ninja Comic,,https://cdn.bsky.app/img/avatar/plain/did:plc:vu4lqliyjzx5bhrwu72zwjjy/bafkreih77ac2zluqzisos2hiqwggbc2d47ek4rvn5dg2t6jxjhk5gnniam@jpeg,112,185,1178,False,0,0,0,0,32,172,0,0,0,,,False,False
at://did:plc:i53e6y3liw2oaw4s6e6odw5m/app.bsky.feed.post/3m2jvlimf3k2u,bafyreibmjwl6thf5jnjmfqcho334lkaznkb24k5d65veuoinfnzw6khiga,"TikTok prank shows fake burglar, sparks dozens of police call-outs A viral TikTok trend showing fake “homeless burglars” inside homes triggered dozens of false police call-outs, as parents panicked after receiving AI-generated clips that appeared to show an intrud 

Interest | Match | Feed",2025-10-06T15:12:57Z,homeless,en,bluesky.awakari.com,did:plc:i53e6y3liw2oaw4s6e6odw5m,Awakari,,https://cdn.bsky.app/img/avatar/plain/did:plc:i53e6y3liw2oaw4s6e6odw5m/bafkreicvyjeywe5ph65avri3hzojqocoowoqwh3htd7dlazqgwzsnuyjfy@jpeg,730,1,1162103,False,0,0,0,0,44,290,0,0,0,,,True,False
at://did:plc:dbg4zzqjvohfhumezan6h2ml/app.bsky.feed.post/3m2jvh6bpu22y,bafyreiclmd223ig26eqmgjom7najpd2kree6j2fbzzewe4zhmk35xoa26i,"More “safety ambassadors” is the key bc they are considered to be allies by homeless  persons and can be trusted to steer them in right direction. No bed should remain empty as long as a single person (that wants shelter) is sleeping on the street. 

We, as a nation, should be past this by now.",2025-10-06T15:10:32.198Z,homeless,en,calgal93.bsky.social,did:plc:dbg4zzqjvohfhumezan6h2ml,calgal93,,https://cdn.bsky.app/img/avatar/plain/did:plc:dbg4zzqjvohfhumezan6h2ml/bafkreihrykh572p365z3mfpm22mau5eiuetxx5u5wtsfmkhxz57zcg3q2q@jpeg,2291,2676,982,False,1,0,0,1,55,295,0,0,0,,,True,False
at://did:plc:y2zrjuhc6cpqrzi7gwmvs643/app.bsky.feed.post/3m2jvegszb22f,bafyreifmpi4ah67zy6meqymzv5drcbpwrqbt2fseg3gfoar4suuxox3utu,People are so angry at homeless people for being homeless in this country and it’s the same people who don’t want to spend any money on the root causes of homelessness.,2025-10-06T15:09:00.492Z,homeless,en,browneallover.bsky.social,did:plc:y2zrjuhc6cpqrzi7gwmvs643,Wes Browne,,https://cdn.bsky.app/img/avatar/plain/did:plc:y2zrjuhc6cpqrzi7gwmvs643/bafkreib5jdmlts5wn6xf4byimjzcvxmbprjkw7tfmlxvgwmgaaz3qbsx3a@jpeg,2394,462,297,False,1,0,0,1,31,168,0,0,0,,,False,False
at://did:plc:nnr7fhsighxzrhgwopqqbobb/app.bsky.feed.post/3m2jvcbwdhc2h,bafyreihmgtb7iodfdxmruft6uka4ygbppsdxi3pwyylgneo42bgxltjhm4,"It ""feels"" safer because they're constantly doing sweeps and arresting homeless people. That actually makes the city and its people less safe",2025-10-06T15:07:48.249Z,homeless,en,ishfery.bsky.social,did:plc:nnr7fhsighxzrhgwopqqbobb,Nun Ya,,https://cdn.bsky.app/img/avatar/plain/did:plc:nnr7fhsighxzrhgwopqqbobb/bafkreignfiay75cen7m3dbewjm4xcl536sd6dzndbybziwhownytgoufmm@jpeg,472,232,11902,False,4,0,0,4,22,141,0,0,0,,,False,True
at://did:plc:kuhlpr27zyhjj23c5qz2mgyg/app.bsky.feed.post/3m2jvm755nd72,bafyreif4wc7f5mfxpnpbctc4qgxkpybjcjtwr5kzs44zmtl5kqt3lmblqq,"TikTok prank shows fake burglar, sparks dozens of police call-outs A viral TikTok trend showing fake “homeless burglars” inside homes triggered dozens of false police call-outs, as parents pani...


Origin | Interest | Match",2025-10-06T15:06:19.000Z,homeless,en,tiktok.activitypub.awakari.com.ap.brid.gy,did:plc:kuhlpr27zyhjj23c5qz2mgyg,TikTok,,https://cdn.bsky.app/img/avatar/plain/did:plc:kuhlpr27zyhjj23c5qz2mgyg/bafkreibltzp64wgqko2zybvena2ajvyo6rt7gzw7qnyr3wfmp6qorslkhu@jpeg,77,0,29783,False,0,0,0,0,34,224,0,0,0,,,True,False
at://did:plc:ehsv4hapky6gpie54a6zhwsd/app.bsky.feed.post/3m2jv7cfxqk2o,bafyreif46unqs6xt47ntse2bcijiy6t7q3qsn5zmdeowbr4wknfa6mmhxq,Today has been so completely stressful I want to quit my job and degree and become homeless and lay in a forest until the wildlife feast on my flesh and the birds make my hair into a nest and I finally get to stop thinking or feeling anything.,2025-10-06T15:06:08.098Z,homeless,en,prblmtcfd.bsky.social,did:plc:ehsv4hapky6gpie54a6zhwsd,nia (⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)⁠✧⁠*⁠。,,https://cdn.bsky.app/img/avatar/plain/did:plc:ehsv4hapky6gpie54a6zhwsd/bafkreihfdv2j2lut63k427tgndzlxuh5sgzrsgpqvoguxc5p7cnkxpsob4@jpeg,108,190,80,False,1,0,0,1,48,243,0,0,0,,,False,False
at://did:plc:b5vbgntfozdqcr7d53oclqb5/app.bsky.feed.post/3m2jv6v2ovc2d,bafyreib5hwi36oskkw4c3z5xmwolw537qw7vxve6mdlk4v32w5wz37dw7i,"I saw a video on FB that really had my blood boiling. 

ICE agents invaded a homeless shelter. A homeless shelter! 

They abducted a man who had papers. Disgusting!",2025-10-06T15:05:54.098Z,homeless,en,raenahnyc.bsky.social,did:plc:b5vbgntfozdqcr7d53oclqb5,Rae-nah,,https://cdn.bsky.app/img/avatar/plain/did:plc:b5vbgntfozdqcr7d53oclqb5/bafkreigg5eqee322j4yoiixiugrcxjxgnv5gzlaa776ipl3drqr3ioqhnq@jpeg,829,529,4477,False,1,0,0,1,29,164,0,0,0,,,False,False
